fitness,num_div,each_div,coverage
idc,1,800,0.6666666666666666
idc,1,800,0.75
idc,1,800,0.75
idc,1,800,0.5
idc,1,800,0.6666666666666666
idc,1,800,0.6666666666666666
idc,2,400,0.75
idc,2,400,0.75
idc,2,400,0.8333333333333334
idc,2,400,0.6666666666666666
idc,2,400,0.6666666666666666
idc,2,400,0.8333333333333334
idc,2,400,0.8333333333333334
idc,2,400,0.5
idc,2,400,0.6666666666666666
idc,2,400,1.0
idc,2,400,0.6666666666666666
idc,2,400,0.75
idc,2,400,1.0
idc,2,400,0.8333333333333334
idc,2,400,0.6666666666666666
idc,2,400,1.0
idc,2,400,0.6666666666666666
idc,2,400,0.75
idc,2,400,0.75
idc,2,400,0.8333333333333334
idc,2,400,0.6666666666666666
idc,2,400,0.6666666666666666
idc,2,400,0.75
idc,2,400,0.6666666666666666
idc,2,400,0.6666666666666666
idc,2,400,0.8333333333333334
idc,2,400,1.0
idc,2,400,0.6666666666666666
idc,2,400,0.5833333333333334
idc,2,400,0.6666666666666666
idc,3,266,0.8333333333333334
idc,3,266,1.0
idc,3,266,0.9166666666666666
idc,3,266,1.0
idc,3,266,0.75
idc,3,266,0.8333333333333334
idc,3,266,1.0
idc,3,266,0.75
idc,3,266,0.9166666666666666
idc,3,266,0.75
idc,3,266,0.8333333333333334
idc,3,266,0.8333333333333334
idc,3,266,0.9166666666666666
idc,3,266,0.8333333333333334
idc,3,266,0.8333333333333334
idc,3,266,0.8333333333333334
idc,3,266,1.0
idc,3,266,0.75
idc,3,266,0.6666666666666666
idc,3,266,0.75
idc,3,266,0.75
idc,3,266,1.0
idc,3,266,0.75
idc,3,266,0.8333333333333334
idc,3,266,1.0
idc,3,266,0.75
idc,3,266,1.0
idc,3,266,0.8333333333333334
idc,3,266,0.75
idc,3,266,1.0
idc,4,200,0.8333333333333334
idc,4,200,1.0
idc,4,200,1.0
idc,4,200,0.8333333333333334
idc,4,200,0.8333333333333334
idc,4,200,0.8333333333333334
idc,4,200,0.75
idc,4,200,0.75
idc,4,200,0.8333333333333334
idc,4,200,0.75
idc,4,200,0.9166666666666666
idc,4,200,0.8333333333333334
idc,4,200,1.0
idc,4,200,1.0
idc,4,200,0.9166666666666666
idc,4,200,0.8333333333333334
idc,4,200,0.8333333333333334
idc,4,200,1.0
idc,4,200,1.0
idc,4,200,1.0
idc,4,200,0.8333333333333334
idc,4,200,0.8333333333333334
idc,4,200,1.0
idc,4,200,1.0
idc,4,200,1.0
idc,4,200,1.0
idc,4,200,0.75
idc,4,200,1.0
idc,4,200,0.8333333333333334
idc,4,200,1.0
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,0.8333333333333334
idc,5,160,0.9166666666666666
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,0.8333333333333334
idc,5,160,0.9166666666666666
idc,5,160,0.8333333333333334
idc,5,160,0.75
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,0.8333333333333334
idc,5,160,1.0
idc,5,160,0.8333333333333334
idc,5,160,0.75
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,0.75
idc,5,160,0.9166666666666666
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,1.0
idc,5,160,0.75
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,0.8333333333333334
idc,6,133,1.0
idc,6,133,0.9166666666666666
idc,6,133,0.9166666666666666
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,0.75
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,0.9166666666666666
idc,6,133,0.9166666666666666
idc,6,133,0.8333333333333334
idc,6,133,1.0
idc,6,133,0.9166666666666666
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,0.75
idc,6,133,1.0
idc,6,133,1.0
idc,6,133,0.9166666666666666
idc,6,133,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,0.8333333333333334
idc,7,114,0.8333333333333334
idc,7,114,0.8333333333333334
idc,7,114,1.0
idc,7,114,0.9166666666666666
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,0.9166666666666666
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,0.9166666666666666
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,0.9166666666666666
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,1.0
idc,7,114,0.9166666666666666
idc,8,100,1.0
idc,8,100,0.9166666666666666
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,0.9166666666666666
idc,8,100,1.0
idc,8,100,0.9166666666666666
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,0.9166666666666666
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,0.8333333333333334
idc,8,100,1.0
idc,8,100,0.9166666666666666
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,0.9166666666666666
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,8,100,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,9,89,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
idc,10,80,1.0
